City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
125,Arrecife,20,ES,1612480207,76,28.963,-13.5477,55.4,6.91
126,Bathsheba,20,BB,1612480207,61,13.2167,-59.5167,78.8,19.57
127,Izumo,20,JP,1612480208,86,35.3667,132.7667,32.0,4.61
128,Jizan,0,SA,1612480208,73,17.3333,42.6667,75.2,8.05
129,Eyl,0,SO,1612480208,77,7.9803,49.8164,70.09,11.99
130,Muros,98,ES,1612480208,91,42.7762,-9.0603,51.01,5.97
131,East London,91,ZA,1612480047,77,-33.0153,27.9116,73.08,6.73
132,Nauta,83,PE,1612480209,95,-4.5061,-73.5757,76.35,4.14
133,Dhangadhi,26,NP,1612480209,73,28.7079,80.5961,55.53,1.72
134,Kushiro,40,JP,1612480209,62,42.975,144.3747,12.2,5.75
135,Mastic Beach,1,US,1612480209,60,40.7668,-72.8521,37.0,7.4
136,Paramonga,94,PE,1612480209,73,-10.6667,-77.8333,72.39,6.31
137,Altona,90,DE,1612480210,86,53.55,9.9333,33.8,8.05
138,Kumul,0,CN,1612480210,87,42.8,93.45,25.39,1.3
139,Half Moon Bay,1,US,1612480210,54,37.4636,-122.4286,62.6,13.8
140,Cap Malheureux,14,MU,1612480210,74,-19.9842,57.6142,79.0,5.01
141,Isangel,75,VU,1612480211,74,-19.55,169.2667,86.0,3.44
142,Saint George,1,US,1612480020,24,37.1041,-113.5841,55.0,8.05
143,Otavi,97,NA,1612480211,50,-19.65,17.3333,72.77,7.43
144,Karavayevo,90,RU,1612480211,86,55.2961,37.9622,19.4,15.66
145,Sakaiminato,20,JP,1612480211,86,35.55,133.2333,32.0,2.3
146,Uglovoye,72,UA,1612480211,78,44.8215,33.6045,50.0,3.0
147,Port Alfred,16,ZA,1612480042,86,-33.5906,26.891,66.0,9.53
148,Egvekinot,100,RU,1612480212,86,66.3167,-179.1667,-22.09,19.48
149,Altay,91,CN,1612480212,90,47.8667,88.1167,18.52,0.63
150,Avarua,95,CK,1612480087,66,-21.2078,-159.775,86.0,6.91
151,Beringovskiy,100,RU,1612480212,92,63.05,179.3167,-0.89,9.98
152,Batemans Bay,82,AU,1612480212,87,-35.7167,150.1833,75.0,10.0
153,Lagoa,27,PT,1612480213,74,39.05,-27.9833,55.06,22.82
154,Río Gallegos,0,AR,1612479991,25,-51.6226,-69.2181,75.2,28.77
155,Longyearbyen,75,SJ,1612480213,67,78.2186,15.6401,17.6,13.8
156,Coyhaique,0,CL,1612480213,30,-45.5752,-72.0662,82.4,4.61
157,Coahuayana Viejo,1,MX,1612480213,69,18.7333,-103.6833,80.6,5.59
158,Alice Springs,90,AU,1612480213,68,-23.7,133.8833,71.6,9.22
159,Wahiawā,90,US,1612480213,68,21.5028,-158.0236,71.6,13.8
160,Coos Bay,1,US,1612480214,71,43.3665,-124.2179,51.8,16.11
161,Buala,98,SB,1612480204,76,-8.145,159.5921,82.6,7.9
162,Djibo,14,BF,1612480214,17,14.1022,-1.6306,75.78,8.93
163,Seymchan,100,RU,1612480214,88,62.8833,152.4333,-14.24,3.65
164,Duluth,40,US,1612480214,63,46.7833,-92.1066,21.2,17.27
165,Wamba,0,NG,1612480214,17,8.9333,8.6,77.34,5.68
166,Arrondissement de Saint-Denis,90,FR,1612480215,93,48.9167,2.3333,46.99,3.44
167,Chikhli,41,IN,1612480215,36,20.35,76.25,62.74,9.44
168,Fairbanks,20,US,1612479919,76,64.8378,-147.7164,-11.99,3.44
169,Três Lagoas,83,BR,1612480215,88,-20.7511,-51.6783,77.16,5.14
170,Gijón,100,ES,1612480215,88,43.5357,-5.6615,51.01,2.08
171,Zhangaözen,58,KZ,1612480215,73,43.3,52.8,43.5,11.63
172,Talaya,100,RU,1612480216,85,61.3833,152.75,-18.09,3.67
173,Rosh Pinna,100,IL,1612480216,95,32.9689,35.5426,55.99,1.01
174,Usinsk,98,RU,1612480216,90,65.9939,57.5281,-8.36,12.86
175,Boundiali,0,CI,1612480216,20,9.5217,-6.4869,74.84,2.21
176,Whitecourt,40,CA,1612480216,72,54.1502,-115.6855,8.6,20.71
177,Oddur,0,SO,1612480216,90,4.1213,43.8894,66.74,12.03
178,Basco,67,PH,1612480216,74,20.4487,121.9702,70.56,22.86
179,Deputatsky,66,RU,1612480217,86,69.3,139.9,-24.72,4.23
180,Antofagasta,20,CL,1612480125,68,-23.65,-70.4,68.0,11.5
181,Kwang Binh,28,VN,1612480168,90,17.4833,106.6,67.96,6.49
182,Norman Wells,20,CA,1612480217,67,65.282,-126.8329,-38.2,2.3
183,Naryan-Mar,54,RU,1612480217,88,67.6713,53.087,-16.35,11.72
184,Saint Paul Harbor,0,US,1612480218,91,57.79,-152.4072,32.22,2.48
185,Nanortalik,96,GL,1612480163,79,60.1432,-45.2371,21.15,7.74
186,Barrow,1,US,1612480218,83,71.2906,-156.7887,-25.6,6.91
187,Urcos,40,PE,1612480218,39,-13.6861,-71.6228,62.6,9.22
188,Macusani,66,PE,1612480218,76,-14.0833,-70.4333,41.85,7.61
189,Simplício Mendes,61,BR,1612480218,59,-7.8539,-41.9103,81.03,3.22
190,Praia,75,CV,1612480219,73,14.9215,-23.5087,69.8,16.11
191,Castro,58,BR,1612480219,94,-24.7911,-50.0119,68.4,6.31
192,Pecos,1,US,1612480219,24,31.4229,-103.4932,68.0,16.11
193,San Patricio,20,US,1612480219,61,28.017,-97.5169,89.6,16.11
194,Sitka,75,US,1612479966,93,57.0531,-135.33,39.2,4.61
195,San Policarpo,80,PH,1612480220,84,12.1791,125.5072,81.03,16.58
196,College,20,US,1612479953,76,64.8569,-147.8028,-11.99,5.75
197,Ambulu,69,ID,1612480220,87,-8.345,113.6058,76.19,3.76
198,Karratha,39,AU,1612480220,81,-20.7377,116.8463,81.0,10.92
199,Asău,0,RO,1612480006,93,46.4333,26.4,39.2,9.22
200,Lavrentiya,100,RU,1612480038,86,65.5833,-171.0,-7.74,19.95
